name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
top tricot power,https://www.tufiduek.com.br/279002,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/90/279002_top-tricot-power-464800266_z1_639082542215039160.webp,279002,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
body cetim glow,https://www.tufiduek.com.br/277933,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/79/277933_body-cetim-glow-424800177_z1_639083499078834757.webp,277933,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido midi estruturado,https://www.tufiduek.com.br/278812,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/88/278812_vestido-midi-estruturado-444805132_z1_639083513699776752.webp,278812,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido midi elegance macrame,https://www.tufiduek.com.br/287988,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/79/287988_vestido-midi-elegance-macrame-444805366_z1_639083464775556878.webp,287988,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
calca wide leg cos duplo,https://www.tufiduek.com.br/286484,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/64/286484_calca-wide-leg-cos-duplo-24801762_z1_639083467037497528.webp,286484,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
saia maxi midi aura,https://www.tufiduek.com.br/290603,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/06/290603_saia-maxi-midi-aura-84801358_z1_639083448345979483.webp,290603,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto  colete e short twill victoria,https://www.tufiduek.com.br/284615,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/46/284615_conjunto-colete-e-short-twill-victoria-2224800352_z1_639083481307892874.webp,284615,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto linho ella,https://www.tufiduek.com.br/284518,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/45/284518_vestido-curto-linho-ella-444805304_z1_639082542016287033.webp,284518,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
blusa renda floral,https://www.tufiduek.com.br/290633,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/06/290633_blusa-renda-floral-364802624_z1_639083449421427254.webp,290633,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido alfaiataria com renda guipure,https://www.tufiduek.com.br/286539,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/65/286539_vestido-alfaiataria-com-renda-guipure-444805320_z1_639083469661440395.webp,286539,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto estampa ondas,https://www.tufiduek.com.br/282418,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/24/282418_conjunto-estampa-ondas-2224800345_z1_639083484970459996.webp,282418,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido recortes tule bordado,https://www.tufiduek.com.br/282345,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/23/282345_vestido-recortes-tule-bordado-444805253_z1_639083483341614595.webp,282345,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto manga longa jersey,https://www.tufiduek.com.br/288023,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/80/288023_vestido-curto-manga-longa-jersey-444805379_z1_639083466065883270.webp,288023,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
blusa fluida elegante,https://www.tufiduek.com.br/283317,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/33/283317_blusa-fluida-elegante-364802593_z1_639082538158475135.webp,283317,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
macacao gride com faixa lateral,https://www.tufiduek.com.br/279853,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/98/279853_macacao-gride-com-faixa-lateral-544800362_z2_639052833641493069.webp,279853,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
vestido midi tomara que caia,https://www.tufiduek.com.br/290657,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/06/290657_vestido-midi-tomara-que-caia-444805403_z1_639083450149626643.webp,290657,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido em tule recortes assimetricos,https://www.tufiduek.com.br/286526,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/65/286526_vestido-em-tule-recortes-assimetricos-444805310_z1_639083468872054260.webp,286526,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido midi degage essence,https://www.tufiduek.com.br/290638,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/06/290638_vestido-midi-degage-essence-444805397_z1_639083449604331679.webp,290638,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
top corselet renda swift,https://www.tufiduek.com.br/290628,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/06/290628_top-corselet-renda-swift-364802620_z1_639083449189384917.webp,290628,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
