name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Blusa Linho Off-white,https://www.carmensteffens.com.br/HB703188725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8914414049513165249/products/HB703188725_1.jpg,HB703188725,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M
Camisa Clássica com Estampa Floral,https://www.carmensteffens.com.br/HB635939071,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8262884271525001265/products/HB635939071_2.jpg,HB635939071,Carmen Steffens,ALTO INVERNO 2025,1 Superior,,SUPERIOR (F),TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|P|G|GG|PP
Camisa Clássica Estampada com Bolso,https://www.carmensteffens.com.br/HB584939327,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5561267527211958839/products/HB584939327_1.jpg,HB584939327,Carmen Steffens,ALTO INVERNO 2025,1 Superior,,SUPERIOR (F),TRUE,,G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|G
Camisa de Linho Off-white,https://www.carmensteffens.com.br/HB501188725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3513272466037184541/products/HB501188725_1.jpg,HB501188725,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|G|GG|M|P
Blusa Viscose Verde Água,https://www.carmensteffens.com.br/HB444541991,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v949984315716715413/products/HB444541991.blusa-brilhofrontview.jpg,HB444541991,Carmen Steffens,INVERNO 2025,1 Superior,,SUPERIOR (F),TRUE,,M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G
Blusa Assimétrica Alfaiataria Azul,https://www.carmensteffens.com.br/HB243152062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1048000791244205328/products/HB243152062.bolsa-brilhofrontview.jpg,HB243152062,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|P|G|GG
Blusa Assimétrica Verde Suave,https://www.carmensteffens.com.br/HB223882752,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5505928130770317946/products/HB223882752.blusa-brilhofrontview.jpg,HB223882752,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|P
Blusa Alongada Com Amarrações,https://www.carmensteffens.com.br/HB213939812,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2249122430054828585/products/HB213939812.blusa-brilhofrontview.jpg,HB213939812,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P
Top de Alfaiataria Frente Única Com Decote Cruzado,https://www.carmensteffens.com.br/HB083152725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5148261260156729186/products/HB083152725_1.jpg,HB083152725,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
Top Frente Única com Metal Off-White,https://www.carmensteffens.com.br/HB063998725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5758969594753342629/products/HB063998725_1.jpg,HB063998725,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|M
Top Corselet de Malha Off-white,https://www.carmensteffens.com.br/HB053466725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2841496712373031351/products/HB053466725.blusa-brilhofrontview.jpg,HB053466725,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
Top Vermelho com Detalhe Transpassado Busto,https://www.carmensteffens.com.br/HB033466004,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3233189120126413274/products/HB033466004_1.jpg,HB033466004,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
Top Preto com Detalhe Transpassado Busto,https://www.carmensteffens.com.br/HB033466001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5573096923051564670/products/HB033466001_1.jpg,HB033466001,ALTO VERAO 2025,ALTO VERAO 2025,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|GG|M
Saia Day By Day,https://www.carmensteffens.com.br/FS335923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v7208064526293901323/products/FS335923062.saia-enfeitefrontview.jpg,FS335923062,Carmen Steffens,ALTO VERAO 2023,2 Inferior,,INFERIOR (F),TRUE,,38,adult,adult,,clothes,,,,,0.0,BR,FALSE,,38
Jaqueta Cropped Jeans,https://www.carmensteffens.com.br/FJ614923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1685178687246007271/products/FJ614923062.Jaqueta-enfeitefrontview.jpg,FJ614923062,ALTO VERAO 2025,VERAO 2023,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|PP
Calça Destroyed Wide Leg,https://www.carmensteffens.com.br/FC824923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8863253159569149017/products/FC824923062.calca-enfeitefrontview.jpg,FC824923062,Carmen Steffens,VERAO 2023,2 Inferior,,INFERIOR (F),TRUE,,34,adult,adult,,clothes,,,,,0.0,BR,FALSE,,34
Calça Boy Friend Intense Glow,https://www.carmensteffens.com.br/FC365923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5584717503393164421/products/FC365923062.calca-enfeitefrontview.jpg,FC365923062,Carmen Steffens,ALTO VERAO 2023,2 Inferior,,INFERIOR (F),TRUE,,38,adult,adult,,clothes,,,,,0.0,BR,FALSE,,36|38
Blazer Couro Dourado,https://www.carmensteffens.com.br/EJ265900066,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3959067989703712638/products/EJ265900066.casaco-douradofrontview.jpg,EJ265900066,Carmen Steffens,INVERNO 2020,1 Superior,,SUPERIOR (F),TRUE,,M,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M
Slingback Vinil Lemon,https://www.carmensteffens.com.br/1301463910A,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v7073860200474204075/products/1301463910A.sapatilha-enfeitefrontview.jpg,1301463910A,Carmen Steffens,ALTO VERAO 2022,4 Calçados,,ABNT CALCADOS (F),TRUE,,34,adult,adult,,clothes,,,,,0.0,BR,FALSE,,34
Slingback Vinil Grape,https://www.carmensteffens.com.br/1301463370A,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3537501756682683381/products/1301463370A.sapatilha-enfeitefrontview.jpg,1301463370A,Carmen Steffens,ALTO VERAO 2022,4 Calçados,,ABNT CALCADOS (F),TRUE,,35,adult,adult,,clothes,,,,,0.0,BR,FALSE,,35
Vestido Butterflies,https://www.carmensteffens.com.br/HV040833089,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3113825551988564821/products/HV040833089.camiseta-brilhofrontview.jpg,HV040833089,Carmen Steffens,INVERNO 2024,3 Corpo Todo,,CORPO TODO (F),TRUE,,M,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M
Macacão Fenda Flores,https://www.carmensteffens.com.br/HM239152686,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8929367826429154032/products/HM239152686.macacao-enfeitefrontview.jpg,HM239152686,Carmen Steffens,ALTO VERAO 2024,3 Corpo Todo,,CORPO TODO (F),TRUE,,P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P
Blazer Manga Curta Oversized Verde,https://www.carmensteffens.com.br/HJ436950901,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1815134402085070468/products/HJ436950901_1.jpg,HJ436950901,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Blazer Risca De Giz,https://www.carmensteffens.com.br/HJ370466001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v7415967602774389136/products/HJ370466001.blusa-brilhofrontview.jpg,HJ370466001,Carmen Steffens,INVERNO 2024,1 Superior,,SUPERIOR (F),TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|PP
Jaqueta Comfort Logo Laser Jeans,https://www.carmensteffens.com.br/HJ206923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v4007358463266647165/products/HJ206923062_1.jpg,HJ206923062,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P
Colete Alongado Gold,https://www.carmensteffens.com.br/HJ136950257,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v291797707188282616/products/HJ136950257_1.jpg,HJ136950257,ALTO VERAO 2025,VERAO 2026,VERAO 2026,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Short com Pregas de Alfaiataria Off-white,https://www.carmensteffens.com.br/HH306152725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v9019766730152847075/products/HH306152725_1.jpg,HH306152725,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Short Alfaiataria Gold,https://www.carmensteffens.com.br/HH276950257,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v7332704065567338814/products/HH276950257_1.jpg,HH276950257,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P
Short de Alfaiataria Basic Verde,https://www.carmensteffens.com.br/HH226950901,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8844675078099518215/products/HH226950901_1.jpg,HH226950901,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Short Listra P&B,https://www.carmensteffens.com.br/HH106833189,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v4253452149538226172/products/HH106833189_1.jpg,HH106833189,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Short Listra Navy,https://www.carmensteffens.com.br/HH106109943,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1968796949671087545/products/HH106109943_1.jpg,HH106109943,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Calça Jeans Wide Leg,https://www.carmensteffens.com.br/HC616923062,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1225903139167096617/products/HC616923062_1.jpg,HC616923062,Carmen Steffens,VERAO 2026,2 Inferior,,INFERIOR (F),TRUE,,38,adult,adult,,clothes,,,,,0.0,BR,FALSE,,40|42|38|44
Calça em Renda Champanhe,https://www.carmensteffens.com.br/HC406950257,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3475570275271291437/products/HC406950257_1.jpg,HC406950257,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Calça Pantalona Du Jour,https://www.carmensteffens.com.br/HC386950637,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3024886103114867639/products/HC386950637_1.jpg,HC386950637,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P|GG|PP
Calça Cenoura Verde Alecrim,https://www.carmensteffens.com.br/HC366950187,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2962446596096649665/products/HC366950187_1.jpg,HC366950187,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,GG|M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Calça Vanguarda Gold,https://www.carmensteffens.com.br/HC356950257,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v763891879466551436/products/HC356950257_1.jpg,HC356950257,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Calça Garden Organza Off-white,https://www.carmensteffens.com.br/HC316057725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8142894600608807312/products/HC316057725_1.jpg,HC316057725,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,M,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P|GG|PP
