name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
saia lapis essence,https://shop.skazioficial.com/290781,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/07/290781_saia-lapis-essence-82001515_z1_639083719467190543.webp,290781,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi drapeado,https://shop.skazioficial.com/286618,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286618_vestido-midi-drapeado-442005633_z1_639083741488195582.webp,286618,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi balone,https://shop.skazioficial.com/290837,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290837_vestido-midi-balone-442005829_z1_639083724071046189.webp,290837,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
casaqueto balone flores 3d,https://shop.skazioficial.com/290860,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290860_casaqueto-balone-flores-3d-482000547_z1_639083725572530912.webp,290860,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G,adult,adult,,,,,,,0.0,BR,false,,
jaqueta utilitaria,https://shop.skazioficial.com/290798,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/07/290798_jaqueta-utilitaria-322000352_z1_639083720561854152.webp,290798,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G,adult,adult,,,,,,,0.0,BR,false,,
vestido babados assimetricos,https://shop.skazioficial.com/285172,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/51/285172_vestido-babados-assimetricos-442005659_z1_639082811253469250.webp,285172,Skazi,Skazi,TRICOT,UNDEFINED,TRICOT (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido longo cut out em jersey,https://shop.skazioficial.com/288101,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/81/288101_vestido-longo-cut-out-em-jersey-442005756_z1_639083737442848747.webp,288101,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido longo corpo renda ombro a ombro,https://shop.skazioficial.com/290831,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290831_vestido-longo-corpo-renda-ombro-a-ombro-442005826_z1_639083723592083958.webp,290831,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido longo renda paetes,https://shop.skazioficial.com/280364,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/03/280364_vestido-longo-renda-paetes-442005473_z1_639083777764061103.webp,280364,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
vestido longo alcas esferas,https://shop.skazioficial.com/285178,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/51/285178_vestido-longo-alcas-esferas-442005661_z1_639083749588812981.webp,285178,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto colete e short,https://shop.skazioficial.com/289247,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289247_conjunto-colete-e-short-2222001537_z1_639083733608658265.webp,289247,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi em laise floral,https://shop.skazioficial.com/286643,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286643_vestido-midi-em-laise-floral-442005642_z1_639083742802112730.webp,286643,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi recortes assimetricos,https://shop.skazioficial.com/286663,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286663_vestido-midi-recortes-assimetricos-442005651_z1_639083744146329173.webp,286663,Skazi,Skazi,TRICOT,UNDEFINED,TRICOT (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido curto gode listras,https://shop.skazioficial.com/288090,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/80/288090_vestido-curto-gode-listras-442005752_z1_639083736920421227.webp,288090,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
short saia amarracao,https://shop.skazioficial.com/280171,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/01/280171_short-saia-amarracao-62000413_z1_639083773552283601.webp,280171,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
vestido renda cashmere,https://shop.skazioficial.com/277559,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/75/277559_vestido-renda-cashmere-442005438_z1_639083797741000307.webp,277559,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
macacao laise floral,https://shop.skazioficial.com/282777,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/27/282777_macacao-laise-floral-542001217_z1_639083755334368728.webp,282777,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto flare renda dourado,https://shop.skazioficial.com/290882,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290882_conjunto-flare-renda-dourado-2222001547_z1_639083726839855234.webp,290882,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
shorts jeans clochard cos duplo,https://shop.skazioficial.com/283831,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/38/283831_shorts-jeans-clochard-cos-duplo-62000419_z1_639083759083514866.webp,283831,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,36|38|40|42|44,adult,adult,,clothes,,,,,0.0,BR,false,,36|38|40|42|44
vestido maxi midi estampado,https://shop.skazioficial.com/280477,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/04/280477_vestido-maxi-midi-estampado-442005521_z1_639083781615963289.webp,280477,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
top corselet renda,https://shop.skazioficial.com/290849,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290849_top-corselet-renda-462000586_z1_639083724941358905.webp,290849,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
