name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes,,,,
vestido poa fundo rosa,https://www.shopinlove.com.br/vestido-poa-fundo-rosa,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/03/a5/be/273e012ac32c19f949a229089b/vestido-poa-fundo-rosa-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/03/a5/be/273e012ac32c19f949a229089b/vestido-poa-fundo-rosa-large-1.jpg,,IL3301-00239,In love,In love,3 CORPO TODO,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
vestido longo olivia preto,https://www.shopinlove.com.br/vestido-longo-olivia-preto,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/db/08/7f/2443f3943be95a673edb30d14e/vestido-longo-olivia-preto-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/db/08/7f/2443f3943be95a673edb30d14e/vestido-longo-olivia-preto-large-1.jpg,,IL1238-4-00002,In love,In love,3 CORPO TODO,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
spray in love transparente,https://www.shopinlove.com.br/spray-in-love-transparente,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/c7/db/3e/02a0c9da84eeea7ca00fbdf3cf/spray-in-love-transparente-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/c7/db/3e/02a0c9da84eeea7ca00fbdf3cf/spray-in-love-transparente-large-1.jpg,,IL2067-00073,In love,In love,Undefined,Undefined,,FALSE,,U,adult,adult,,,,,,,0.0,BR,FALSE,,
kit regata sweet,https://www.shopinlove.com.br/regata-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/40/ae/3c/b20a51cf6dc1a7efd7c3bde135/regata-1-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/40/ae/3c/b20a51cf6dc1a7efd7c3bde135/regata-1-large-1.jpg,,IL3296-00478,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
baby tee cake in love off white,https://www.shopinlove.com.br/baby-tee-cake-in-love-off-white,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/cc/38/eb/c64ba4b081021225bae85bbcb6/baby-tee-cake-in-love-off-white-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/cc/38/eb/c64ba4b081021225bae85bbcb6/baby-tee-cake-in-love-off-white-large-1.jpg,,PL006-00004,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
saia midi julia poa fundo preto,https://www.shopinlove.com.br/saia-midi-julia-poa-fundo-preto-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/f9/e7/bf/3f2855fca1110a731ee16ef388/saia-midi-julia-poa-fundo-preto-1-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/f9/e7/bf/3f2855fca1110a731ee16ef388/saia-midi-julia-poa-fundo-preto-1-large-1.jpg,,IL1760-7-00147,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over pure warm rosa,https://www.shopinlove.com.br/t-shirt-over-pure-warm-rosa,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/b7/b5/58/898190a6346bdd3fb0454141e4/t-shirt-over-pure-warm-rosa-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/b7/b5/58/898190a6346bdd3fb0454141e4/t-shirt-over-pure-warm-rosa-large-1.jpg,,IL0010-00030,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
blusa de alca julia poa marrom,https://www.shopinlove.com.br/blusa-de-alca-poa-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/1f/ec/22/6acbae6b699e11bd398fa0485b/blusa-de-alca-poa-marrom-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/1f/ec/22/6acbae6b699e11bd398fa0485b/blusa-de-alca-poa-marrom-large-1.jpg,,IL3057-1-00480,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
calca aladim poa poa marrom,https://www.shopinlove.com.br/calca-aladim-em-poa-poa-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/67/b1/78/978216141e4c36cc2ba6966eba/calca-aladim-em-poa-poa-marrom-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/67/b1/78/978216141e4c36cc2ba6966eba/calca-aladim-em-poa-poa-marrom-large-1.jpg,,IL3241-1-00480,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
vestido jaqueline poa marrom,https://www.shopinlove.com.br/vestido-poa-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/19/24/12/7ba667431fa607d864e2c746aa/vestido-poa-marrom-large-1.png","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/19/24/12/7ba667431fa607d864e2c746aa/vestido-poa-marrom-large-1.png,,IL2964-4-00480,In love,In love,3 CORPO TODO,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
blusa ana poa fundo rosa,https://www.shopinlove.com.br/blusa-poa-fundo-rosa,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/a9/3b/76/bd4002b5041747f8cf3fd3e51b/blusa-poa-fundo-rosa-large-1.png","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/a9/3b/76/bd4002b5041747f8cf3fd3e51b/blusa-poa-fundo-rosa-large-1.png,,IL3302-00239,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over cake branco acucar,https://www.shopinlove.com.br/t-shirt-over-cake-branco-acucar,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/7a/2a/13/a4f400991c49c2d4b98f3ad42c/t-shirt-over-cake-branco-acucar-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/7a/2a/13/a4f400991c49c2d4b98f3ad42c/t-shirt-over-cake-branco-acucar-large-1.jpg,,IL0007-00176,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
casaco de moletom angel pluma,https://www.shopinlove.com.br/casaco-de-moletom-angel-pluma,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/b0/93/4a/b55bdcdce599e2af8373581b72/casaco-de-moletom-angel-pluma-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/b0/93/4a/b55bdcdce599e2af8373581b72/casaco-de-moletom-angel-pluma-large-1.jpg,,IL1941-6-00465,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
casaco de moletom anna marrom,https://www.shopinlove.com.br/casaco-de-moletom-amelia-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/70/f8/3c/96753c4028d1bac89b4f51de99/casaco-de-moletom-amelia-marrom-large-2.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/70/f8/3c/96753c4028d1bac89b4f51de99/casaco-de-moletom-amelia-marrom-large-2.jpg,,IL1941-3-00005,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
blusa manga longa jenifer marrom,https://www.shopinlove.com.br/blusa-manga-longa-jenifer-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/56/c5/30/871c3ece5dcbca77376e5572f7/blusa-manga-longa-jenifer-marrom-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/56/c5/30/871c3ece5dcbca77376e5572f7/blusa-manga-longa-jenifer-marrom-large-1.jpg,,IL2862-00005,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
calca de moletom camile preto,https://www.shopinlove.com.br/calca-de-moletom-camile-preto,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/e7/3a/87/3142c7fec3dcd2d2a175512bfc/calca-de-moletom-camile-preto-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/e7/3a/87/3142c7fec3dcd2d2a175512bfc/calca-de-moletom-camile-preto-large-1.jpg,,IL1325-6-00002,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
calca fundo do mar rosa fundo do mar,https://www.shopinlove.com.br/calca-fundo-do-mar-rosa-fundo-do-mar,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/e9/e7/47/3255236860f3ae3416d3561a78/calca-fundo-do-mar-rosa-fundo-do-mar-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/e9/e7/47/3255236860f3ae3416d3561a78/calca-fundo-do-mar-rosa-fundo-do-mar-large-1.jpg,,IL2737-00454,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,G3|G4,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G3|G4
