name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Banana Mode,https://www.monkyforce.com/174152201,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/whatsapp-image-2023-06-27-at-14-19-361-ac7c7736c3d3046bd216878905376301-1024-1024.jpeg,174152201,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Grand Slam,https://www.monkyforce.com/174151868,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/whatsapp-image-2023-06-27-at-14-23-00-51-c89e74a7f857fb911a16878899282940-1024-1024.jpeg,174151868,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Hoodie Wave,https://www.monkyforce.com/173029141,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/magiceraser_230617_070529-c9998ae2a7f3b0be3217089760659213-1024-1024.jpg,173029141,Monky Force,--,Top,Todos,Remeras Clasicas,true,,S|S,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
BOMBER PANTS 2.0,https://www.monkyforce.com/172950805,unisex,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/magiceraser_230616_2120281-a82dbbbfb36a78b27316869628251411-1024-1024.jpeg,172950805,Monky Force,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,Pantalones Largos Hombres / Unisex,true,,Hombre S / Mujer M|Hombre M / Mujer L|Hombre L / Mujer XL|Hombre XL / Mujer XXL|Hombre XXL / Mujer XXXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,HOMBRE S / MUJER M|HOMBRE M / MUJER L|HOMBRE L / MUJER XL|HOMBRE XL- MUJER XXL|HOMBRE XXL-MUJER XXX
Mountain Yeti Short Men,https://www.monkyforce.com/171417497,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/shorts-recovered-eb10d454a27321ce8217030932048844-1024-1024.png,171417497,Monky Force,--,Bottom,INDUMENTARIA HOMBRE,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Top manga corta,https://www.monkyforce.com/171061527,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/untitled-11-6571778c79845196fa16854680922712-1024-1024.png,171061527,Monky Force,--,Top,INDUMENTARIA MUJER,Remeras Clasicas,true,,S|M|L|XL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL
Hoodie College,https://www.monkyforce.com/166683285,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/80f073f3-bd61-4615-a028-5b47adc2af981-0f43b3c107961c946416821727627786-1024-1024.png,166683285,Monky Force,--,Top,INDUMENTARIA HOMBRE,Remeras Clasicas,true,,XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,XL
Bras Monky,https://www.monkyforce.com/165814170,female,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/2dc37f5a-6bb4-47e9-afcc-709e9c52163d1-3618e89ed49bd3adb016815145078108-1024-1024.png,165814170,Monky Force,--,Top,INDUMENTARIA MUJER,Prendas de arriba femenina,true,,S|M|L|XL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL
Monky\Llavero,https://www.monkyforce.com/164710691,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/tienda-nube-11-5f737966229f5b0c0616807195125813-1024-1024.png,164710691,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Scrached socks,https://www.monkyforce.com/162342124,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/tienda-nube-11-94865dda478557b87e16793413488574-1024-1024.png,162342124,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
